,,exret_mkt,FF_SMB,FF_HML,FF_RMW,FF_CMA,RF,FF_MOM,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,PR17,PR18,PR19,PR20,PR21,PR22,PR23,PR24,PR25,PRgrowth,PRvalue,Prsmall,Prlarge
15/11/1965,196511,-0.03,5.2,0.21,-1.09,-0.9,0.35,4.42,3.5853,6.738,2.4335,8.0918,6.6297,1.4377,5.5811,4.2575,5.4318,4.048,3.5356,3.3836,5.2857,2.8337,2.6488,3.5229,2.8138,3.3691,1.148,6.0764,-0.3037,-1.8517,1.255,-1.2821,-2.275,0.1,3.73,    7.17,   -1.20
15/12/1965,196512,1.01,2.65,1.95,-1.24,-0.45,0.33,0.09,6.4061,7.3525,2.344,3.8728,4.9632,3.6686,5.0612,3.9601,2.3878,7.3704,2.7818,1.328,4.0189,1.5988,5.6335,1.3034,1.3391,1.6231,4.3141,4.7832,1.0103,-0.2053,1.2605,2.7992,2.9558,0.99,4.32,    5.19,    0.68
15/01/1966,196601,0.72,4.72,3.49,-2.84,-0.07,0.38,5.41,5.8757,6.1252,8.4953,9.5804,9.2611,4.8531,5.5152,5.2212,5.3198,6.4047,4.1093,2.8438,2.9188,4.5832,6.0148,0.6698,2.0493,4.9538,4.2498,5.7043,-0.3719,-0.6373,1.7297,3.0563,3.4997,-0.04,8.77,    8.55,   -0.45
15/02/1966,196602,-1.21,4.86,0.27,-0.16,-1.44,0.35,4.58,6.4919,6.1003,1.7637,4.6412,6.1313,4.8901,5.386,1.9583,-0.2085,3.5297,-0.1237,1.8587,4.3132,2.4861,2.9023,2.2571,-1.573,0.6434,0.6801,3.5463,-1.3268,-2.2691,-1.6922,-1.9663,-2.0557,-0.77,2.59,    5.50,   -1.87
15/03/1966,196603,-2.51,0.22,-2.07,1.34,-0.01,0.38,1.34,0.4302,-0.4055,-2.2779,-0.8356,-1.1006,0.1883,-1.7233,-2.4526,-3.6285,-1.557,-1.7207,-4.7081,-2.3592,-3.3801,-3.7122,0.0488,-1.3941,-3.2976,-2.5368,-4.2177,-1.474,-3.4162,-1.0924,-2.1509,-4.5021,-0.96,-6.43,    0.50,   -2.46
15/04/1966,196604,2.14,3.38,-0.54,0.44,-0.91,0.34,6.18,10.5139,4.6831,5.8429,6.9314,3.8781,2.7326,5.1946,3.6853,7.7015,8.7953,3.8115,4.0488,3.127,4.3838,2.4018,4.0802,2.4861,3.4612,4.8273,0.3389,2.1117,1.8738,1.2218,2.4061,1.9991,2.29,3.03,    6.99,    1.85
15/05/1966,196605,-5.66,-5.19,-1.55,1.69,-1.52,0.41,-4.69,-12.3013,-13.3738,-10.3573,-10.7611,-11.7866,-9.7592,-10.0972,-8.7631,-10.0317,-9.1777,-6.2935,-7.0317,-7.6381,-10.5574,-9.4822,-5.0816,-5.1564,-6.7096,-8.8227,-10.7558,-4.1889,-3.8667,-4.7328,-5.5063,-5.4507,-4.3,-10.38,  -13.08,   -4.01
15/06/1966,196606,-1.44,1.34,0.5,0.05,0.8,0.38,3.28,-0.6824,-0.2759,1.071,1.5448,0.3766,1.3324,0.4358,-0.0637,-0.6477,0.2485,0.3944,-0.5198,2.6905,-0.3626,-0.683,-0.8593,-0.3602,0.0017,3.4268,-0.0842,-1.9986,-1.4809,-0.689,0.8559,-0.6948,-1.46,-0.43,   -0.16,   -1.74
15/07/1966,196607,-1.63,-0.5,0.96,-0.46,1.78,0.35,-1.39,-2.1739,-1.751,-2.3778,0.0135,-1.0599,-3.1657,-2.3341,-0.729,-1.6938,-1.6869,-1.0345,-2.0679,-0.6466,-0.7935,-1.4238,-0.8236,-1.3688,-2.0464,-2.697,-2.3773,-1.6864,-1.4936,-0.6138,0.9135,-1.326,-2.17,-2.4,   -2.05,   -1.25
15/08/1966,196608,-7.91,-3.03,0.47,0.06,0.77,0.41,-2.11,-11.9646,-10.5214,-9.9631,-11.0473,-10.4161,-12.7672,-10.143,-9.3653,-9.6835,-10.9118,-10.6818,-8.6482,-7.9789,-9.942,-8.6292,-9.3873,-7.6617,-7.9129,-6.9637,-9.4044,-7.1873,-8.7472,-5.7046,-6.1912,-7.9624,-7.11,-9.31,  -11.70,   -6.76
15/09/1966,196609,-1.06,-1.19,0.53,-1.66,2.5,0.4,-1.73,-2.0164,-1.8402,-1.8161,-1.9233,-1.2181,-1.8183,0.9079,-2.2521,-1.819,-2.0855,-2.1949,-4.3174,0.4292,-0.1997,-1.2755,-1.0739,0.1546,-1.2518,-3.2299,-0.3762,-1.3094,1.0071,0.4795,0.2753,-1.6179,-2.72,-1.4,   -2.22,   -0.21
15/10/1966,196610,3.86,-6.53,2.87,-3.64,4.28,0.45,-5.13,-8.0065,-4.7175,-4.4987,-1.1373,-1.416,-5.364,-0.824,-0.8158,0.3173,-0.21,-1.8702,1.4897,3.2466,4.9836,1.6575,0.3109,4.953,3.8079,3.7496,1.9296,2.9392,5.625,9.2021,6.2743,6.5077,2.54,3.13,   -5.28,    5.40
15/11/1966,196611,1.4,3.37,-4.46,4.18,-6.53,0.4,5.73,8.4391,3.5803,4.7042,2.4402,3.589,7.7597,3.0753,7.4347,1.9298,2.6885,9.3354,6.4773,1.1391,4.5771,0.637,8.618,1.2966,1.4545,2.0443,0.7892,3.6719,1.9047,-2.5331,-1.4293,-1.0731,7.71,0.57,    4.08,    0.95
15/12/1966,196612,0.13,1.93,-1.22,0.68,-0.13,0.4,1.07,4.1887,2.6142,2.5021,0.8137,0.2328,4.7503,3.4576,0.9245,2.243,0.6964,3.1883,3.7043,0.4487,3.1068,-0.4132,2.9634,2.3162,1.6444,3.6156,1.953,-0.871,0.0758,1.4591,-0.1425,-0.1227,-1.23,-0.04,    1.47,   -0.53
15/01/1967,196701,8.15,9,2.22,0.62,-2.98,0.43,-6.75,20.5686,20.1184,19.5247,20.6142,17.4187,16.9665,16.444,17.6109,17.3934,20.4686,16.9832,14.4911,12.1993,13.1637,14.3448,9.778,6.68,10.7449,11.2193,13.5276,7.7322,7.0965,4.8745,7.8591,13.7899,7.86,15.6,   20.68,    7.00
15/02/1967,196702,0.78,3.03,-2.17,1.93,-0.94,0.36,3.56,7.3009,5.3938,5.2832,4.4799,5.9275,3.2454,2.8425,1.2934,3.2515,1.6492,1.9406,2.0415,1.9312,0.7805,0.887,2.9131,-0.4038,-0.2011,1.0839,0.2107,2.3014,0.667,-0.7874,-0.8658,-1.33,3.75,0.66,    6.56,    0.81
15/03/1967,196703,3.99,1.91,0.31,0.9,-1.51,0.39,1.42,7.1692,6.1509,4.9988,7.51,5.2425,6.8662,6.1629,7.1679,6.5706,6.2631,5.6319,5.3637,4.6457,8.3173,4.075,5.7894,4.2717,5.9142,4.3024,5.977,4.2598,3.0891,3.1531,4.6729,5.3175,4.56,4.67,    6.92,    3.82
15/04/1967,196704,3.89,0.46,-2.64,2.44,-3.75,0.32,0.64,6.7813,4.2416,3.4974,4.0327,3.5775,3.2009,4.0422,5.0639,3.9044,3.3418,5.5552,4.4402,2.9887,5.3865,2.8081,6.6606,2.9818,4.09,3.5137,2.8157,6.8866,2.8402,0.1138,3.5468,1.7638,7.44,2.65,    4.92,    4.45
15/05/1967,196705,-4.33,2.37,0.8,-1.75,1.61,0.33,0.67,0.2259,0.7148,-0.8453,-0.9907,-0.6344,-1.2816,0.6486,0.4954,-2.6295,-3.57,-3.0619,-1.8975,-1.8854,-0.2384,-1.9758,-2.2254,-0.545,-2.1452,-1.0689,-0.6484,-5.6526,-4.2053,-4.0482,-3.703,-3.6596,-5.47,-1.66,   -0.24,   -5.00
15/06/1967,196706,2.41,6.47,0.96,-0.63,-2.38,0.27,6.03,15.7613,9.3533,12.5508,12.1768,10.1779,10.2446,6.8181,6.9293,9.4103,5.9872,5.3568,8.1879,4.1933,5.1106,3.4548,3.1082,2.3217,3.6678,6.7072,6.1274,1.4221,0.3958,1.6194,2.8988,3.0943,3.13,4.61,   13.29,    1.42
15/07/1967,196707,4.58,3.48,2.65,0.51,2.73,0.31,-1.07,9.3213,9.6497,10.0437,7.6255,11.8277,6.1726,6.6112,9.3847,9.4111,8.4125,5.3805,4.9914,5.8998,7.2319,11.5789,4.791,4.6581,5.0812,7.2256,9.0224,4.4462,5.6367,2.1142,5.8685,6.4583,4.59,6.79,   10.38,    4.09
15/08/1967,196708,-0.89,0.76,1.46,0.42,1.4,0.31,-1.41,-0.7086,0.5643,0.4005,0.1612,2.0907,-1.183,-1.4183,0.6346,0.5057,1.106,-3.0349,0.7716,1.3193,1.2959,-0.2848,-0.9087,-0.97,-0.6906,1.1208,3.797,-0.5742,-1.0246,-1.5269,0.4557,1.338,-1.04,1.26,    1.30,   -0.90
15/09/1967,196709,3.11,2.46,-2.47,0.22,-0.96,0.32,2.55,11.7646,10.2082,8.2414,7.6413,4.8732,5.1037,6.1175,7.1483,5.5241,3.1091,5.661,1.7213,2.8866,4.6168,2.5388,3.7335,1.5415,2.2649,3.6498,0.4076,3.8,3.1463,3.2577,1.6223,0.2472,5.16,0.47,    8.89,    3.47
